ProviderName,PID,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County
Eastland Memorial Hospital,423,304 S DAUGHERTY AVE,,EASTLAND,TX,76448,Eastland
Eastland Nursing and Rehabilitation,424,700 S OSTROM AVE,,EASTLAND,TX,76448,Eastland
Ebony Lake Nursing and Rehabilitation Center,426,1001 CENTRAL BLVD,,BROWNSVILLE,TX,78520,Cameron
"Eden Home, Inc",427,631 LAKEVIEW BLVD,,NEW BRAUNFELS,TX,78130,Comal
Edgewater Care Center,429,1213 WATER ST,,KERRVILLE,TX,78028,Kerr
Edgewood Manor Nursing Home,430,4925 ELIZABETH ST,,TEXARKANA,TX,75503,Bowie
Edgewood Rehabilitation and Care Center,431,1101 WINDBELL ST,,MESQUITE,TX,75149,Dallas
Edinburg Nursing and Rehabilitation Center,432,5215 S SUGAR RD,,EDINBURG,TX,78539,Hidalgo
El Campo Memorial Hospital,435,303 SANDY CORNER RD,,EL CAMPO,TX,77437,Wharton
El Paso Health and Rehabilitation Center,436,11525 VISTA DEL SOL DR,,EL PASO,TX,79936,El Paso
Electra Healthcare Center,437,511 S BAILEY ST,,ELECTRA,TX,76360,Wichita
Electra Memorial Hospital,438,1207 S BAILEY ST,,ELECTRA,TX,76360,Wichita
Elgin Nursing and Rehabilitation Center,439,1373 N AVENUE C,,ELGIN,TX,78621,Bastrop
Elkhart Oaks Care Center,441,214 JONES RD,,ELKHART,TX,75839,Anderson
Emerald Hills Rehabilitation and Healthcare Center,443,5600 DAVIS BLVD,,NORTH RICHLAND HILLS,TX,76180,Tarrant
Ennis Care Center,445,1200 S HALL ST,,ENNIS,TX,75119,Ellis
Epic Nursing And Rehabilitation,447,3210 W STATE HIGHWAY 22,,CORSICANA,TX,75110,Navarro
Estates Healthcare and Rehabilitation Center,448,201 SYCAMORE SCHOOL RD,,FORT WORTH,TX,76134,Tarrant
Estrella Oaks Rehabilitation And Care Center,450,4011 WILLIAMS DR,,GEORGETOWN,TX,78628,Williamson
Evergreen Healthcare Center,451,406 E 7TH ST,,BURKBURNETT,TX,76354,Wichita
Fairfield Nursing and Rehabilitation Center,453,420 MOODY ST,,FAIRFIELD,TX,75840,Freestone
"Fairview Healthcare Residence, Ltd",454,601 E REUNION ST,,FAIRFIELD,TX,75840,Freestone
Faith Community Hospital,456,215 CHISHOLM TRL,,JACKSBORO,TX,76458,Jack
Faith Memorial Nursing Home,458,811 GARNER RD,,PASADENA,TX,77502,Harris
Falcon Lake Nursing Home,459,200 CARLA ST,,ZAPATA,TX,78076,Zapata
Falcon Ridge Rehabilitation,460,149 KLATTENHOFF LN,,HUTTO,TX,78634,Williamson
Falfurrias Nursing And Rehabilitation,461,1301 S TERRELL ST,,FALFURRIAS,TX,78355,Brooks
Farmersville Health And Rehabilitation,466,205 BEECH ST,,FARMERSVILLE,TX,75442,Collin
Farwell Care and Rehabilitation Center,467,305 5TH ST,,FARWELL,TX,79325,Parmer
Fireside Lodge Healthcare Center,468,4800 WHITE SETTLEMENT RD,,FORT WORTH,TX,76114,Tarrant
Flatonia Oak Manor Rehabilitation and Nursing Center,471,624 N CONVERSE ST,,FLATONIA,TX,78941,Fayette
Floresville Nursing and Rehabilitation Center,472,1811 6TH ST,,FLORESVILLE,TX,78114,Wilson
Focus Care at Linden,475,1201 W HOUSTON ST,,LINDEN,TX,75563,Cass
Focus Care Gilmer,476,623 STATE HIGHWAY 155 N,,GILMER,TX,75644,Upshur
Focused Care At Allenbrook,477,4109 ALLENBROOK DR,,BAYTOWN,TX,77521,Harris
Focused Care at Burnet Bay,479,3921 N MAIN ST,,BAYTOWN,TX,77521,Harris
Focused Care at Cedar Bayou,480,2000 W BAKER RD,,BAYTOWN,TX,77521,Harris
Focused Care At Clarksville,481,2407 W MAIN ST,,CLARKSVILLE,TX,75426,Red River
Focused Care at Corpus,482,801 CANTWELL LN,,CORPUS CHRISTI,TX,78408,Nueces
Focused Care At Fort Stockton,483,501 N SYCAMORE ST,,FORT STOCKTON,TX,79735,Pecos
Focused Care At Lamesa,486,1201 N 15TH ST,,LAMESA,TX,79331,Dawson
Focused Care At Midland,487,2000 N MAIN ST,,MIDLAND,TX,79705,Midland
Focused Care at Mount Pleasant,488,1606 MEMORIAL AVE,,MOUNT PLEASANT,TX,75455,Titus
Focused Care At Odessa,489,2443 W 16TH ST,,ODESSA,TX,79763,Ector
Focused Care at Orange,490,4201 FM 105,,ORANGE,TX,77630,Orange
Focused Care at Pasadena,491,3434 WATTERS RD,,PASADENA,TX,77504,Harris
Focused Care At Pecos,492,1819 S MEMORIAL DR,,PECOS,TX,79772,Reeves
Focused Care at Sherman,493,817 W CENTER ST,,SHERMAN,TX,75092,Grayson
Focused Care at Summer Place,494,2485 S MAJOR DR,,BEAUMONT,TX,77707,Jefferson
Focused Care At Waxahachie,495,1413 W MAIN ST,,WAXAHACHIE,TX,75165,Ellis
Focused Care at Webster,496,17231 MILL FOREST RD,,WEBSTER,TX,77598,Harris
Focused Care at Westwood,497,8702 S COURSE DR,,HOUSTON,TX,77099,Harris
Focused Care Of Center,498,501 TIMPSON ST,,CENTER,TX,75935,Shelby
Fort Bend Healthcare Center,501,3010 BAMORE RD,,ROSENBERG,TX,77471,Fort Bend
Fort Worth Transitional Care Center,505,850 12TH AVE,,FORT WORTH,TX,76104,Tarrant
Fort Worth Wellness And Rehabilitation,506,2129 SKYLINE DR,,FORT WORTH,TX,76114,Tarrant
"Fortress Health and Rehab of Rock Prairie, LLC",507,1105 ROCK PRAIRIE RD,,COLLEGE STATION,TX,77845,Brazos
Forum Parkway Health and Rehabilitation,508,2112 FORUM PKWY,,BEDFORD,TX,76021,Tarrant
Founders Plaza Nursing and Rehabilitation,509,721 S HIGHWAY 78,,WYLIE,TX,75098,Dallas
FOX HOLLOW POST ACUTE,510,310 AMERICA DR,,BROWNSVILLE,TX,78526,
Frank M Tejeda Texas State Veterans Home,511,200 VETERANS DR,,FLORESVILLE,TX,78114,Wilson
Franklin Heights Nursing and Rehabilitation Center,512,223 S RESLER DR,,EL PASO,TX,79912,El Paso
Franklin Nursing Home,513,700 N HEARNE ST,,FRANKLIN,TX,77856,Robertson
Fredericksburg Nursing And Rehabilitation,515,1117 S ADAMS ST,,FREDERICKSBURG,TX,78624,Gillespie
Friendship Haven Healthcare and Rehabilitation Center,516,1500 SUNSET DR,,FRIENDSWOOD,TX,77546,Galveston
Frio Regional Hospital,518,200 S INTERSTATE 35,,PEARSALL,TX,78061,Frio
Gainesville Health and Rehabilitation Center,519,1900 ONEAL ST,,GAINESVILLE,TX,76240,Cooke
Galleria Residence and Rehabilitation Center,520,2808 STONEY BROOK DR,,HOUSTON,TX,77063,Harris
Ganado Nursing And Rehabilitation Center,521,107 E ROGERS ST,,GANADO,TX,77962,Jackson
Garden Terrace At Fort Worth,522,7500 OAKMONT BLVD,,FORT WORTH,TX,76132,Tarrant
Garden Terrace At Houston,523,7887 CAMBRIDGE ST,,HOUSTON,TX,77054,Harris
Garden Terrace Healthcare Center,524,1224 CORVADURA ST,,GRAHAM,TX,76450,Young
Garden Villa Nursing Home,525,106 DEL NORTE DR,,EL CAMPO,TX,77437,Wharton
Gardendale Rehabilitation and Nursing Center,526,1521 E RUSK ST,,JACKSONVILLE,TX,75766,Cherokee
Garland Nursing and Rehabilitation,527,321 N SHILOH RD,,GARLAND,TX,75042,Dallas
Garnet Hill Rehabilitation and Skilled Care,528,1420 MCCREARY RD,,WYLIE,TX,75098,Dallas
Garrison Geriatric Education And Care Center,529,3710 4TH ST,,LUBBOCK,TX,79415,Lubbock
Garrison Nursing Home and Rehabilitation Center,530,333 N FM 95,,GARRISON,TX,75946,Nacogdoches
Gazebo Terrace Convalescent Center,532,1303 HIGHWAY 290 E,,BRENHAM,TX,77833,Washington
Georgia Manor Nursing Home,536,2611 SW 46TH AVE,,AMARILLO,TX,79110,Randall
Giddings Residence and Rehabilitation Center,538,1181 N WILLIAMSON ST,,GIDDINGS,TX,78942,Lee
"Gilmer Nursing and Rehabilitation, LP",539,703 TITUS ST,,GILMER,TX,75644,Upshur
Glen Rose Nursing and Rehab Center,542,1019 HOLDEN ST,,GLEN ROSE,TX,76043,Somervell
Glenview Wellness and Rehab,543,7625 GLENVIEW DR,,RICHLAND HILLS,TX,76180,Tarrant
Golden Acres Living and Rehabilitation Center,544,2525 CENTERVILLE RD,,DALLAS,TX,75228,Dallas
Golden Age Healthcare Residence,545,704 E DOBKINS ST,,DUBLIN,TX,76446,Erath
Golden Creek Healthcare and Rehabilitation Center,547,2100 DOVE CROSSING LN,,NAVASOTA,TX,77868,Grimes
Golden Estates Rehabilitation Center,548,130 SPENCER LN,,SAN ANTONIO,TX,78201,Bexar
Golden Palms Health Center,549,2101 TREASURE HILLS BLVD,,HARLINGEN,TX,78550,Cameron
Golden Plains Community Hospital,550,100 MEDICAL DR,,BORGER,TX,79007,Hutchinson
Golden Villa Nursing Home,551,1104 S WILLIAM ST,,ATLANTA,TX,75551,Cass
Golden Years Nursing and Rehabilitation Center,552,318 CHAMBERS ST,,MARLIN,TX,76661,Falls
Gonzales Memorial Hospital,555,1110 N SARAH DEWITT DR,,GONZALES,TX,78629,Gonzales
Good Samaritan Society Denton Village,556,2500 HINKLE DR,,DENTON,TX,76201,Denton
Good Samaritan Society Lake Forest Village,557,3901 MONTECITO DR,,DENTON,TX,76210,Denton
Good Samaritan Society White Acres,558,7304 GOOD SAMARITAN CT,,EL PASO,TX,79912,El Paso
Grace Care Center at Northpointe,564,11830 NORTHPOINTE BLVD,,TOMBALL,TX,77377,Harris
Grace Care Center of Cypress,565,9602 HUFFMEISTER RD,,HOUSTON,TX,77095,Harris
Grace Care Center of Henrietta,566,807 W BOIS D ARC ST,,HENRIETTA,TX,76365,Clay
Grace Hill Nursing and Rehabilitation,568,215 FM 161 S,,HUGHES SPRINGS,TX,75656,Cass
GRACE POINTE WELLNESS CENTER,569,2301 N OREGON ST,,EL PASO,TX,79902,El Paso
Grace Presbyterian Village,570,550 E ANN ARBOR AVE,,DALLAS,TX,75216,Dallas
Gracy Woods 2 Nursing Center,571,12042 BITTERN HOLW,,AUSTIN,TX,78758,Travis
Gracy Woods Nursing Center 1,572,12021 METRIC BLVD,,AUSTIN,TX,78758,Travis
Graham Oaks Care Center,573,1325 1ST ST,,GRAHAM,TX,76450,Young
Graham Regional Medical Center,574,1301 MONTGOMERY RD,,GRAHAM,TX,76450,Young
Granbury Care Center,575,301 S PARK ST,,GRANBURY,TX,76048,Hood
Granbury Villa Nursing Center,576,2124 PALUXY HWY,,GRANBURY,TX,76048,Hood
Grand Terrace Rehabilitation And Health Care,577,812 W HOUSTON AVE,,MCALLEN,TX,78501,Hidalgo
Grandview Nursing And Rehabilitation Center,578,301 W CRINER ST,,GRANDVIEW,TX,76050,Johnson
Granite Mesa Health Center,580,1401 MAX COPELAND DR,,MARBLE FALLS,TX,78654,Burnet
Grapevine Medical Lodge,581,1005 IRA E WOODS AVE,,GRAPEVINE,TX,76051,Tarrant
Grayson Square Health Care Center,582,815 E GRAYSON ST,,SAN ANTONIO,TX,78208,Bexar
Great Plains Nursing and Rehabilitation,583,315 E 19TH ST,,DUMAS,TX,79029,Moore
Green Valley Healthcare and Rehabilitation Center,584,6850 RUFE SNOW DR,,FORT WORTH,TX,76148,Tarrant
Greenbrier Nursing and Rehabilitation Center,585,2404 STATE HIGHWAY 155,,PALESTINE,TX,75803,Anderson
Greenbrier Nursing and Rehabilitation Center of Tyler,586,3526 W ERWIN ST,,TYLER,TX,75702,Smith
Greenhill Villas of Mount Pleasant,587,2530 GREENHILL RD,,MOUNT PLEASANT,TX,75455,Titus
Greenview Manor,589,401 OWEN LN,,WACO,TX,76710,McLennan
Greenville Gardens,590,3500 PARK ST,,GREENVILLE,TX,75401,Hunt
Greenville Health And Rehab Center,591,4910 WELLINGTON ST,,GREENVILLE,TX,75402,Hunt
Groesbeck LTC Nursing and Rehabilitation,592,607 PARKSIDE DR,,GROESBECK,TX,76642,Limestone
Groveton Nursing Home and Assisted Living,593,1020 W 1ST ST,,GROVETON,TX,75845,Trinity
Guadalupe Valley Nursing And Rehabilitation Center,594,1210 EASTWOOD DR,,SEGUIN,TX,78155,Guadalupe
Gulf Healthcare Center Galveston,597,3702 COVE VIEW BLVD,,GALVESTON,TX,77554,Galveston
Gulf Healthcare Center Port Arthur,598,6600 9TH AVE,,PORT ARTHUR,TX,77642,Jefferson
Gulf Pointe Plaza,599,1008 ENTERPRISE BLVD,,ROCKPORT,TX,78382,Aransas
Hacienda Oaks at Beeville,601,4713 BUSINESS 181 N,,BEEVILLE,TX,78102,Bee
Hacienda Oaks Nursing and Rehabilitation Center,602,1637 N KING ST,,SEGUIN,TX,78155,Guadalupe
Hallettsville Nursing And Rehabilitation Center,605,825 W FAIRWINDS ST,,HALLETTSVILLE,TX,77964,Lavaca
Hamilton General Hospital,606,400 N BROWN ST,,HAMILTON,TX,76531,Hamilton
Hamilton Healthcare Center,608,910 E PIERSON ST,,HAMILTON,TX,76531,Hamilton
Hamilton Hospital,609,901 W HAMILTON ST,,OLNEY,TX,76374,Young
Hamlin Memorial Hospital,611,632 NW 2ND ST,,HAMLIN,TX,79520,Jones
Harlingen Nursing and Rehabilitation Center,618,3810 HALE AVE,,HARLINGEN,TX,78550,Cameron
Haskell Healthcare Center,622,1504 N 1ST ST,,HASKELL,TX,79521,Haskell
Haskell Memorial Hospital,623,1 AVENUE N,,HASKELL,TX,79521,Haskell
Haven Care Nursing and Rehabilitation Center,624,111 RUTHLYNN DR,,LONGVIEW,TX,75605,Gregg
Hays Nursing and Rehabilitation Center,625,1900 MEDICAL PKWY,,SAN MARCOS,TX,78666,Hays
Hearthstone Health Center,631,401 OAKWOOD BLVD,,ROUND ROCK,TX,78681,Williamson
Hemphill Care Center,633,HIGHWAY 83 W,,HEMPHILL,TX,75948,Sabine
Henderson Health and Rehabilitation Center,635,1010 W MAIN ST,,HENDERSON,TX,75652,Rusk
Hereford Nursing and Rehabilitation Center,638,231 KINGWOOD ST,,HEREFORD,TX,79045,Deaf Smith
Heritage at Longview Healthcare and Rehabilitation,640,112 RUTHLYNN DR,,LONGVIEW,TX,75605,Gregg
Heritage at Turner Park,641,820 SMALL ST,,GRAND PRAIRIE,TX,75050,Dallas
Heritage Convalescent Center,642,1009 CLYDE ST,,AMARILLO,TX,79106,Potter
Heritage Gardens Healthcare Center,643,2135 DENTON DR,,CARROLLTON,TX,75006,Dallas
Heritage House Nursing and Rehabilitation,645,407 N COLLEGE,,ROSEBUD,TX,76570,Falls
Heritage House of Keller,646,1150 WHITLEY RD,,KELLER,TX,76248,Tarrant
Heritage House of Marshall Healthcare and Rehabilitation Center,647,5915 ELYSIAN FIELDS RD,,MARSHALL,TX,75672,Harrison
Heritage House Of Paris,648,150 47TH ST SE,,PARIS,TX,75462,Lamar
Heritage Nursing and Rehabilitation,651,5437 EISENHAUER RD,,SAN ANTONIO,TX,78218,Bexar
Heritage Oaks Nursing and Rehabilitation Center,652,5301 UNIVERSITY AVE,,LUBBOCK,TX,79413,Lubbock
Heritage Oaks Residence and Rehabilitation Center,653,1112 GIBBINS RD,,ARLINGTON,TX,76011,Tarrant
Heritage Oaks West Retirement Village,655,3300 W 2ND AVE,,CORSICANA,TX,75110,Navarro
Heritage Park of Katy Nursing and Rehabilitation,656,6001 GEORGE BUSH DR,,KATY,TX,77493,Harris
Heritage Park Rehabilitation and Skilled Nursing Center,657,2806 REAL ST,,AUSTIN,TX,78722,Travis
Heritage Plaza Nursing Center,659,600 W 52ND ST,,TEXARKANA,TX,75503,Bowie
Heritage Trails Nursing and Rehabilitation Center,661,301 LINCOLN PARK DR,,CLEBURNE,TX,76033,Johnson
Heritage Villa Nursing and Rehabilitation,662,310 E LAWRENCE ST,,DAYTON,TX,77535,Liberty
Hico Nursing and Rehabilitation Center,663,712 RAILROAD ST,,HICO,TX,76457,Hamilton
High Hope Care Center of Brenham,665,401 E BLUE BELL RD,,BRENHAM,TX,77833,Washington
Highland Meadows Health and Rehab,667,1870 JOHN KING BLVD,,ROCKWALL,TX,75032,Rockwall
Highland Meadows Health and Rehabilitation,668,1870 S JOHN KING BLVD,,ROCKWALL,TX,75032,
Highland Park Care Center,670,8861 FULTON ST,,HOUSTON,TX,77022,Harris
Highland Pines Nursing Home and Rehab Center,671,1100 N 4TH ST,,LONGVIEW,TX,75601,Gregg
Hill Country Care Healthcare and Rehabilitation,673,1505 W HIGHWAY 290,,DRIPPING SPRINGS,TX,78620,Hays
Hill Country Rehabilitation and Nursing Center,676,810 INDUSTRIAL AVE,,COPPERAS COVE,TX,76522,Coryell
Hill Regional Hospital,677,101 CIRCLE DR,,HILLSBORO,TX,76645,Hill
Hillside Heights Rehabilitation Suites,679,6650 S SONCY RD,,AMARILLO,TX,79119,Randall
Hillside Medical Lodge,680,300 S HIGHWAY 36 BYP N,,GATESVILLE,TX,76528,Coryell
Hilltop Park Rehabilitation and Care Center,682,970 HILLTOP DR,,WEATHERFORD,TX,76086,Parker
Hilltop Village Nursing and Rehabilitation Center,683,1400 HILLTOP RD,,KERRVILLE,TX,78028,Kerr
Hillview Manor Nursing And Rehabilitation Center,684,1110 RICE ST,,GOLDTHWAITE,TX,76844,Mills
Hogan Clark Nursing and Rehabilitation Center,685,3203 SAGE ST,,MIDLAND,TX,79705,Midland
"Holiday Hill, Inc",686,245 STATE HIGHWAY 153,,COLEMAN,TX,76834,Coleman
Holiday Nursing And Rehabilitation,687,280 MOFFITT DR,,CENTER,TX,75935,Shelby
Holly Hall,689,2000 HOLLY HALL ST,,HOUSTON,TX,77054,Harris
Hollymead,690,4101 LONG PRAIRIE RD,,FLOWER MOUND,TX,75028,Denton
Homestead Nursing And Rehabilitation Of Baird,692,224 E 6TH ST,,BAIRD,TX,79504,Callahan
"Homestead Nursing and Rehabilitation of Collinsville, LLC",693,501 N MAIN ST,,COLLINSVILLE,TX,76233,Grayson
"Homestead Nursing and Rehabilitation of Hillsboro, LLC",695,1725 OLD BRANDON RD,,HILLSBORO,TX,76645,Hill
"Homestead Nursing and Rehabilitation of Itasca, LLC",696,409 S FILES ST,,ITASCA,TX,76055,Hill
Hondo Nursing and Rehabilitation,698,3002 AVENUE Q,,HONDO,TX,78861,Medina
Honey Grove Nursing Center,699,1303 E MAIN ST,,HONEY GROVE,TX,75446,Fannin
Houston County Nursing Home,702,100 NE LOOP 304,,CROCKETT,TX,75835,Houston
Houston Methodist Hospital,705,6565 FANNIN ST,,HOUSTON,TX,77030,Harris
HOUSTON TRANSITIONAL CARE,708,8550 JASON ST,,HOUSTON,TX,77074,
Huebner Creek Health and Rehabilitation Center,709,8306 HUEBNER RD,,SAN ANTONIO,TX,78240,Bexar
Humble Healthcare Center,711,93 ISAACKS RD,,HUMBLE,TX,77338,Harris
Huntington Healthcare And Rehabilitation,715,220 E ASH ST,,HUNTINGTON,TX,75949,Angelina
Huntsville Healthcare Center,716,2628 MILAM ST,,HUNTSVILLE,TX,77340,Walker
Hurst Plaza Nursing and Rehabilitation,718,215 E PLAZA BLVD,,HURST,TX,76053,Tarrant
Immanuels Healthcare,722,4515 VILLAGE CREEK RD,,FORT WORTH,TX,76119,Tarrant
Indian Oaks Living Center,723,415 INDIAN OAKS DR,,HARKER HEIGHTS,TX,76548,Bell
Inspiration Hills Rehabilitation Center,724,1939 BANDERA RD,,SAN ANTONIO,TX,78228,Bexar
Interlochen Health and Rehabilitation Center,726,2645 W RANDOL MILL RD,,ARLINGTON,TX,76012,Tarrant
Iowa Park Healthcare Center,727,1109 N 3RD ST,,IOWA PARK,TX,76367,Wichita
"Irving Nursing and Rehabilitation, LP",730,619 N BRITAIN RD,,IRVING,TX,75061,Dallas
Jacinto City Healthcare Center,734,1405 HOLLAND ST,,HOUSTON,TX,77029,Harris
Jackson County Hospital,735,1013 S WELLS ST,,EDNA,TX,77957,Jackson
Jacksonville Healthcare Center,736,305 BONITA ST,,JACKSONVILLE,TX,75766,Cherokee
Jefferson Nursing and Rehabilitation Center,739,3840 POINTE PKWY,,BEAUMONT,TX,77706,Jefferson
Jeffrey Place Healthcare Center,740,820 JEFFREY ST,,WACO,TX,76710,McLennan
Kaufman Healthcare Center,746,3001 S HOUSTON ST,,KAUFMAN,TX,75142,Kaufman
"Keeneland Nursing and Rehabilitation, LP",747,700 S BOWIE DR,,WEATHERFORD,TX,76086,Parker
Keller Oaks Healthcare Center,748,8703 DAVIS BLVD,,KELLER,TX,76248,Tarrant
Kemp Care,749,1351 S ELM ST,,KEMP,TX,75143,Henderson
Kendall House Wellness and Rehabilitation,750,1050 GRAND BLVD,,BOERNE,TX,78006,Kendall
Kennedy Health And Rehab,752,504 N JOHN REDDITT DR,,LUFKIN,TX,75904,Angelina
Kerens Care Center,754,809 NE 4TH ST,,KERENS,TX,75144,Navarro
Kerrville Va Medical Center Swing Bed,756,3600 MEMORIAL BLVD,,KERRVILLE,TX,78028,
Kimble Hospital,759,349 REID RD,,JUNCTION,TX,76849,Kimble
Kings Manor Methodist Home,763,400 RANGER ST,,HEREFORD,TX,79045,Deaf Smith
Kingsland Hills Care Center,764,3727 W RANCH ROAD 1431,,KINGSLAND,TX,78639,Llano
Kingsville Nursing and Rehabilitation Center,765,3130 S BRAHMA BLVD,,KINGSVILLE,TX,78363,Kleberg
Kirkland Court Health and Rehabilitation,766,1601 KIRKLAND DR,,AMARILLO,TX,79106,Potter
Kirkwood Manor Nursing and Rehab Center,767,2590 LOOP 337,,NEW BRAUNFELS,TX,78130,Comal
"Kleberg County Nursing and Rehabilitation, LP",768,316 GENERAL CAVAZOS BLVD,,KINGSVILLE,TX,78363,Kleberg
Knopp Healthcare and Rehabilitation,770,1208 N LLANO ST,,FREDERICKSBURG,TX,78624,Gillespie
Knopp Nursing and Rehabilitation,772,202 BILLIE DR,,FREDERICKSBURG,TX,78624,
Kountze Nursing Center,774,604 FM 1293 RD,,KOUNTZE,TX,77625,Hardin
Kruse Village,775,1700 E STONE ST,,BRENHAM,TX,77833,Washington
La Bahia Nursing And Rehabilitation,776,225 E WARD ST,,GOLIAD,TX,77963,Goliad
La Dora Nursing and Rehab Center,777,1960 BEDFORD RD,,BEDFORD,TX,76021,Tarrant
La Vida Serena Nursing and Rehabilitation,781,711 KINGS WAY,,DEL RIO,TX,78840,Val Verde
Lake Jackson Healthcare Center,785,413 GARLAND DR,,LAKE JACKSON,TX,77566,Brazoria
"Lake Lodge Nursing and Rehabilitation, LP",786,3800 MARINA DR,,FORT WORTH,TX,76135,Tarrant
Lake Village Nursing and Rehabilitation Center,788,169 LAKE PARK RD,,LEWISVILLE,TX,75057,Denton
Lake Worth Nursing and Rehabilitation,789,4220 WELLS DR,,FORT WORTH,TX,76135,Tarrant
"Lakeridge LTC Partners, Inc",790,4403 74TH ST,,LUBBOCK,TX,79424,Lubbock
Lakeshore Village Healthcare Center,791,2320 LAKE SHORE DR,,WACO,TX,76708,McLennan
Lakeside Nursing And Rehabilitation Center,792,8707 LAKESIDE PKWY,,SAN ANTONIO,TX,78245,Bexar
Lakeside Rehabilitation and Care Center,793,4306 24TH ST,,LUBBOCK,TX,79410,Lubbock
Lakewest Rehabilitation And Healthcare Center,794,2450 BICKERS ST,,DALLAS,TX,75212,Dallas
Lamb Healthcare Center,796,1500 S SUNSET AVE,,LITTLEFIELD,TX,79339,Lamb
Lampasas Nursing And Rehabilitation Center,798,611 N BROAD ST,,LAMPASAS,TX,76550,Lampasas
Lampstand Nursing And Rehabilitation,799,2001 E 29TH ST,,BRYAN,TX,77802,Brazos
Lamun-Lusk-Sanchez Texas State Veterans Home,800,1809 N US HIGHWAY 87,,BIG SPRING,TX,79720,Howard
Landmark Of Amarillo,803,5601 PLUM CREEK DR,,AMARILLO,TX,79124,Potter
Laporte Healthcare Center,805,208 S UTAH ST,,LA PORTE,TX,77571,Harris
Laredo Medical Center,806,1700 E SAUNDERS ST,,LAREDO,TX,78041,Webb
Laredo Nursing and Rehabilitation Center,807,1701 TOURNAMENT TRAIL DR,,LAREDO,TX,78041,Webb
Larkspur Transitional Care,810,201 S JOHN REDDITT DR,,LUFKIN,TX,75904,Angelina
Las Brisas Rehabilitation and Wellness Suites,812,3421 STORY RD W,,IRVING,TX,75038,
Las Colinas of Westover,813,9738 WESTOVER HILLS BLVD,,SAN ANTONIO,TX,78251,Bexar
Las Palmas Nursing and Rehabilitation Center,815,1301 E QUEBEC AVE,,MCALLEN,TX,78503,Hidalgo
Las Palmas Skilled Nursing and Rehabilitation,816,369 MARS DR,,COTULLA,TX,78014,La Salle
LAS VENTANAS DE SOCORRO,817,10064 ALAMEDA AVE,,SOCORRO,TX,79927,
Laurel Court,818,3830 MUSTANG RD,,ALVIN,TX,77511,Brazoria
Laurenwood Nursing and Rehabilitation,819,330 W CAMP WISDOM RD,,DUNCANVILLE,TX,75116,Dallas
Lavaca Hospital District,820,1400 N TEXANA ST,,HALLETTSVILLE,TX,77964,Lavaca
Lawrence Street Healthcare Center,821,615 LAWRENCE ST,,TOMBALL,TX,77375,Harris
Legacy at Jacksonville,825,810 BELLAIRE ST,,JACKSONVILLE,TX,75766,Cherokee
Legacy Nursing And Rehabilitation,826,2817 KENT ST,,BRYAN,TX,77802,Brazos
Legacy Rehabilitation and Living,827,4033 SW 51ST AVE,,AMARILLO,TX,79109,Randall
Legend Healthcare and Rehabilitation Euless,828,900 WESTPARK WAY,,EULESS,TX,76040,Tarrant
Legend Healthcare and Rehabilitation Greenville,829,2300 JACK FINNEY BLVD,,GREENVILLE,TX,75402,Hunt
Legend Healthcare and Rehabilitation Paris,830,520 8TH ST SE,,PARIS,TX,75460,Lamar
Legend Oaks Healthcare And Rehabilitation,831,2468 FM 1101,,NEW BRAUNFELS,TX,78130,Comal
Legend Oaks Healthcare and Rehabilitation Center,833,8902 WEST RD,,HOUSTON,TX,77064,Harris
Legend Oaks Healthcare and Rehabilitation Center,834,2003 W HUTCHINS PL,,SAN ANTONIO,TX,78224,Bexar
Legend Oaks Healthcare and Rehabilitation Ennis,835,1400 MEDICAL CENTER DR,,ENNIS,TX,75119,Ellis
Legend Oaks Healthcare and Rehabilitation Gladewater,838,1201 FARM ROAD 2685,,GLADEWATER,TX,75647,Gregg
Legend Oaks Healthcare and Rehabilitation of East Houston,840,15880 WALLISVILLE RD,,HOUSTON,TX,77049,Harris
Legend Oaks Healthcare And Rehabilitation Of Fort Worth,841,4240 GOLDEN TRIANGLE BLVD,,FORT WORTH,TX,76244,Tarrant
Legend Oaks Healthcare And Rehabilitation Of North Houston,842,12921 MISTY WILLOW DR,,HOUSTON,TX,77070,Harris
Legend Oaks Healthcare And Rehabilitation Waxahachie,843,151 COUNTRY MEADOWS BLVD,,WAXAHACHIE,TX,75165,Ellis
Legend Oaks Healthcare and Rehabilitation West San Antonio,844,222 BERTETTI DR,,SAN ANTONIO,TX,78227,
Legend Oaks Rehabilitation And Healthcare Of Kyle,845,1640 FAIRWAY,,KYLE,TX,78640,Hays
Leonard Manor,848,902 E HACKBERRY ST,,LEONARD,TX,75452,Fannin
Levelland Nursing and Rehabilitation Center,849,210 WEST AVE,,LEVELLAND,TX,79336,Hockley
Lexington Medical Lodge,850,2000 W AUDIE MURPHY PKWY,,FARMERSVILLE,TX,75442,Collin
Lexington Place Nursing And Rehabilitation Center Of Nacogdoches,852,611 SW STALLINGS DR,,NACOGDOCHES,TX,75964,Nacogdoches
Lexington Place Nursing and Rehabilitation Center Richland Hills,853,7146 BAKER BLVD,,RICHLAND HILLS,TX,76118,Tarrant
Liberty Dayton Regional Medical Center,854,1353 N TRAVIS ST,,AMES,TX,77575,Liberty
