PID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,lat,lng,county_name
347,1,2,3,4,1,4,1,0,2,4,5,4,Country Care Manor,29.351470000000006,-98.10722,Wilson
348,1,0,1,0,0,0,0,0,0,0,1,0,"Country Club Nursing and Rehabilitation, LP",35.20318,-101.89519,Potter
350,1,2,1,2,4,2,1,2,0,1,0,1,Country Meadows Nursing and Rehabilitation Center,32.086929999999995,-96.52879,Navarro
353,0,0,0,0,0,2,0,2,0,0,0,0,Country View Nursing And Rehabilitation,32.76168,-96.30018,Kaufman
354,6,5,8,9,7,8,9,12,3,4,6,10,Country Village Care,29.17431,-95.44987,Brazoria
355,0,0,1,2,3,6,7,4,1,8,10,7,"Countryside Nursing and Rehabilitation, LP",33.3719,-96.91965,Denton
357,0,0,0,0,1,0,1,0,1,0,1,1,Courtyard Nursing And Rehabilitation Center,29.686120000000006,-95.30343,Harris
361,0,0,0,0,0,0,2,0,0,0,0,0,Covenant Hospital Plainview,34.17157,-101.73864,Hale
363,0,0,0,2,0,1,0,0,0,0,1,0,Crane Memorial Hospital,31.418090000000007,-102.4833,Crane
365,3,0,0,0,0,0,0,0,0,0,0,0,Creekside Terrace Rehabilitation,31.05136,-97.49967,Bell
366,0,0,1,0,0,1,0,0,0,0,0,1,Creekside Village Healthcare,29.04936,-95.39242,Brazoria
367,8,3,11,6,15,12,7,14,5,7,3,3,Crestview Court,32.58039,-96.96618,Dallas
368,0,0,1,0,1,2,2,3,1,0,0,0,"Crestview Healthcare Residence, Ltd",31.62687,-97.21135,McLennan
369,7,2,3,3,6,0,1,1,1,2,3,2,Crestview Manor Nursing and Rehabilitation Center,31.05136,-97.49967,Bell
370,7,2,2,4,2,7,7,4,4,1,2,2,Crestview Retirement Community,30.66126,-96.32265,Brazos
371,0,1,5,4,1,2,6,2,6,2,0,5,Crestwood Health and Rehab,32.70454,-95.99657,Van Zandt
372,1,3,2,6,6,4,6,3,2,0,0,0,CRIMSON HEIGHTS HEALTH and WELLNESS,30.00679,-95.29018,Harris
376,0,0,1,0,0,0,0,0,0,0,0,0,Crosbyton Nursing and Rehabilitation Center,33.65766,-101.18732,Crosby
378,4,2,8,2,6,7,3,4,6,1,2,2,Cross Timbers Rehabilitation and Healthcare Center,33.0328,-97.06086,Denton
380,2,1,2,0,0,0,1,3,0,1,2,3,Crossroads Nursing And Rehabilitation,30.86932,-96.51734,Robertson
381,0,0,1,0,0,0,0,0,0,1,0,1,Crowell Nursing Center,33.89959,-99.77069,Foard
382,20,19,20,16,17,15,18,15,17,17,17,19,Crown Point Health Suites,33.46993,-101.94095,Lubbock
383,9,10,12,13,17,16,12,12,7,11,9,9,Crystal Creek Preston Hollow,32.91211,-96.73563,Dallas
384,2,1,1,5,1,1,1,0,4,2,2,2,Cuero Partners,29.096740000000004,-97.28269,DeWitt
386,3,1,1,2,1,1,0,0,0,0,0,0,Cypress Creek Rehabilitation and Healthcare Center,29.99104,-95.65878,Harris
389,1,6,1,3,3,1,0,0,0,0,1,2,Cypress Woods Care Center,29.17431,-95.44987,Brazoria
390,2,0,0,0,0,0,0,0,0,1,0,0,Cypresswood Health and Rehabilitation Center,29.92218,-95.54705,Harris
394,4,3,3,5,5,5,5,6,6,7,7,5,Deer Creek of Wimberley Nursing Center,30.03288,-98.1459,Hays
395,5,7,14,7,20,8,9,7,7,8,7,12,Deerbrook Skilled Nursing And Rehabilitation,30.00679,-95.29018,Harris
396,0,2,3,1,1,1,0,1,2,2,0,4,"Deerings Nursing and Rehabilitation, LP",31.79918,-102.46788,Ector
397,3,2,4,2,3,1,0,3,3,3,5,4,Del Rio Nursing and Rehabilitation Center,29.74211,-100.88273,Val Verde
398,0,5,4,1,2,1,1,1,4,2,0,1,"DeLeon Nursing and Rehabilitation, LP",32.114709999999995,-98.56571,Comanche
399,0,0,0,2,0,0,0,1,1,1,1,0,"Denison Nursing and Rehabilitation, LP",33.72616,-96.47326,Grayson
400,9,13,5,8,14,13,7,10,10,4,6,2,Denton Rehabilitation and Nursing Center,33.22113,-97.14723,Denton
403,0,0,0,0,0,1,1,1,0,0,0,0,Desoto Nursing And Rehabilitation,32.59884,-96.86375,Dallas
406,0,1,0,1,0,1,0,0,2,5,2,2,Devine Health and Rehabilitation,29.18359,-98.96601,Medina
407,1,1,1,2,2,2,2,1,1,1,1,2,Dfw Nursing And Rehabilitation,32.7287,-97.31777,Tarrant
408,1,3,2,2,1,0,0,1,3,2,0,0,Dimmit Regional Hospital,28.46432,-99.92139,Dimmit
409,2,3,4,5,6,2,3,1,5,3,2,0,Diversicare of Lake Highlands,32.87853,-96.70782,Dallas
410,0,0,0,2,1,2,1,2,2,3,1,1,Diversicare of Luling,29.69106,-97.6345,Caldwell
415,0,1,1,2,2,2,3,3,2,3,2,2,Dogwood Trails Manor,30.7763,-94.4015,Tyler
416,1,0,1,0,0,0,0,0,0,0,0,0,Dovehill Healthcare Center and Villas,31.6858,-98.18813,Hamilton
417,1,1,2,2,1,1,1,1,1,1,1,1,Downtown Health and Rehabilitation Center,32.7287,-97.31777,Tarrant
418,2,3,4,2,1,4,5,7,2,2,0,0,Duncanville Healthcare and Rehabilitation Center,32.66017,-96.91393,Dallas
419,0,0,1,3,1,3,0,0,0,0,2,3,Eagle Lake Nursing And Rehabilitation,29.52568,-96.30213,Colorado
421,4,4,3,4,1,5,2,3,1,2,2,3,Eagle Pass Nursing and Rehabilitation,28.75206,-100.31076,Maverick
422,2,1,0,3,1,0,1,3,2,1,2,6,Eagles Trace,29.750120000000006,-95.61547,Harris
423,0,0,1,1,0,3,4,1,2,2,1,1,Eastland Memorial Hospital,32.40016,-98.80082,Eastland
424,1,1,0,0,2,0,0,0,0,0,2,1,Eastland Nursing and Rehabilitation,32.40016,-98.80082,Eastland
426,5,6,4,5,6,4,5,8,8,7,7,5,Ebony Lake Nursing and Rehabilitation Center,25.96396,-97.55009,Cameron
427,10,5,8,9,9,7,7,6,11,7,9,5,"Eden Home, Inc",29.69772,-98.0702,Comal
429,2,1,2,0,2,0,2,0,2,0,2,0,Edgewater Care Center,30.03422,-99.15819,Kerr
430,4,3,4,5,3,2,0,6,1,4,0,1,Edgewood Manor Nursing Home,33.51343,-94.13057,Bowie
431,1,3,1,5,3,5,2,4,1,2,2,3,Edgewood Rehabilitation and Care Center,32.77003,-96.61487,Dallas
432,0,0,2,1,1,0,4,1,3,2,1,4,Edinburg Nursing and Rehabilitation Center,26.27915,-98.18321,Hidalgo
435,0,1,1,1,2,1,0,3,2,1,0,1,El Campo Memorial Hospital,29.213040000000003,-96.28036,Wharton
436,6,4,9,5,9,7,6,3,5,9,12,8,El Paso Health and Rehabilitation Center,31.77618,-106.29785,El Paso
437,0,1,0,0,0,2,0,2,1,0,0,0,Electra Healthcare Center,33.96894,-98.96631,Wichita
438,0,1,1,2,1,1,0,0,0,0,0,0,Electra Memorial Hospital,33.96894,-98.96631,Wichita
439,2,2,1,4,3,1,2,4,5,4,1,2,Elgin Nursing and Rehabilitation Center,30.3385,-97.36146,Bastrop
441,0,1,1,0,0,0,0,0,1,0,1,0,Elkhart Oaks Care Center,31.606,-95.5779,Anderson
443,4,3,2,1,1,4,9,2,1,4,7,6,Emerald Hills Rehabilitation and Healthcare Center,32.83996,-97.22499,Tarrant
445,0,2,1,2,2,2,1,1,0,2,0,0,Ennis Care Center,32.32976,-96.59334,Ellis
447,3,0,1,0,2,4,3,2,2,3,2,4,Epic Nursing And Rehabilitation,32.086929999999995,-96.52879,Navarro
448,2,1,2,2,2,2,3,4,4,3,2,3,Estates Healthcare and Rehabilitation Center,32.64274,-97.33353,Tarrant
450,0,5,2,4,5,7,4,6,4,4,3,3,Estrella Oaks Rehabilitation And Care Center,30.64109,-97.75111,Williamson
451,0,0,1,1,0,0,0,0,0,0,0,0,Evergreen Healthcare Center,34.09738,-98.62144,Wichita
453,2,2,2,2,1,2,4,1,0,1,0,2,Fairfield Nursing and Rehabilitation Center,31.78236,-96.089,Freestone
454,1,1,1,1,0,1,0,0,1,1,1,0,"Fairview Healthcare Residence, Ltd",31.78236,-96.089,Freestone
456,0,1,1,1,0,1,0,0,0,0,1,0,Faith Community Hospital,33.21795,-98.1877,Jack
458,0,1,3,2,4,6,3,4,1,0,0,1,Faith Memorial Nursing Home,29.67951,-95.19977,Harris
459,0,0,0,0,0,0,0,0,0,0,1,0,Falcon Lake Nursing Home,26.93098,-99.15507,Zapata
460,2,1,2,2,2,0,2,1,3,2,5,2,Falcon Ridge Rehabilitation,30.55906,-97.54472,Williamson
461,2,2,1,3,1,3,1,1,0,2,0,2,Falfurrias Nursing And Rehabilitation,27.19012,-98.20251,Brooks
463,0,0,0,0,0,1,7,8,9,3,4,8,Fall Creek Rehabilitation and Healthcare Center,29.94821,-95.25987,Harris
464,4,4,5,4,4,3,1,1,1,1,0,0,Fall Creek Rehabilitation And Healthcare Center,29.94821,-95.25987,Harris
466,3,4,5,4,4,3,2,0,1,2,0,0,Farmersville Health And Rehabilitation,33.17365,-96.35309,Collin
467,1,1,1,0,1,0,1,0,1,0,1,0,Farwell Care and Rehabilitation Center,34.41493,-102.94,Parmer
468,0,1,1,0,1,2,1,0,0,1,1,1,Fireside Lodge Healthcare Center,32.77444000000001,-97.40272,Tarrant
471,2,0,2,0,0,0,1,1,1,0,0,0,Flatonia Oak Manor Rehabilitation and Nursing Center,29.74273,-97.15231,Fayette
472,1,4,1,2,1,2,0,0,0,1,2,3,Floresville Nursing and Rehabilitation Center,29.11822,-98.2018,Wilson
474,2,4,3,1,2,2,2,1,0,0,0,0,Focus Care at Baytown,29.73897,-94.9983,Harris
475,0,2,0,4,0,1,0,2,0,1,1,1,Focus Care at Linden,33.00609,-94.38963,Cass
476,3,3,4,6,8,5,2,3,2,1,3,2,Focus Care Gilmer,32.7951,-94.99552,Upshur
477,2,3,2,3,1,2,4,3,0,0,1,0,Focused Care At Allenbrook,29.79849,-94.96589,Harris
478,1,1,0,2,0,0,0,0,1,0,2,0,Focused Care At Baytown,29.73897,-94.9983,Harris
479,4,6,5,4,2,1,2,6,13,12,10,7,Focused Care at Burnet Bay,29.79849,-94.96589,Harris
480,1,4,5,6,0,1,1,2,6,5,8,9,Focused Care at Cedar Bayou,29.79849,-94.96589,Harris
481,2,0,1,0,1,1,3,0,2,8,9,10,Focused Care At Clarksville,33.655390000000004,-95.00488,Red River
482,0,0,0,0,0,0,0,1,2,1,1,3,Focused Care at Corpus,27.795,-97.44693,Nueces
483,0,0,1,0,0,2,0,1,1,1,1,1,Focused Care At Fort Stockton,30.74292,-102.78315,Pecos
484,0,0,3,1,1,0,0,2,1,1,1,0,FOCUSED CARE AT HUNTSVILLE,30.643690000000007,-95.53981,Walker
485,1,0,4,2,1,1,1,1,1,2,1,2,Focused Care At Huntsville,30.643690000000007,-95.53981,Walker
486,0,1,1,1,2,1,0,0,2,0,0,0,Focused Care At Lamesa,32.69327,-102.01053,Dawson
487,0,0,0,0,1,1,0,0,0,0,0,0,Focused Care At Midland,32.051140000000004,-102.05955,Midland
488,4,2,2,1,0,1,0,1,0,0,0,0,Focused Care at Mount Pleasant,33.21697,-94.97819,Titus
489,1,0,1,0,0,2,3,3,4,2,3,2,Focused Care At Odessa,31.79918,-102.46788,Ector
490,1,5,3,2,2,3,1,2,2,3,1,4,Focused Care at Orange,30.0711,-93.86461,Orange
491,5,4,6,4,7,5,8,9,9,9,13,10,Focused Care at Pasadena,29.64802,-95.18998,Harris
492,0,0,0,0,0,0,0,1,1,0,0,0,Focused Care At Pecos,31.425390000000004,-103.62296,Reeves
493,1,1,2,2,0,0,1,0,1,1,1,1,Focused Care at Sherman,33.64891,-96.70004,Grayson
494,4,2,6,5,8,5,2,3,2,1,0,0,Focused Care at Summer Place,30.05295,-94.17654,Jefferson
495,1,4,1,0,1,0,0,0,1,0,0,0,Focused Care At Waxahachie,32.36912,-96.79744,Ellis
496,1,4,3,5,4,2,2,0,1,1,1,2,Focused Care at Webster,29.53781,-95.13687,Harris
497,3,4,5,4,5,2,2,4,6,4,1,2,Focused Care at Westwood,29.67076,-95.58512,Harris
498,2,3,2,6,6,3,2,5,6,3,4,2,Focused Care Of Center,31.73268,-94.20157,Shelby
501,0,3,0,4,4,2,3,1,2,1,2,1,Fort Bend Healthcare Center,29.54596,-95.86816,Fort Bend
505,7,11,18,10,18,16,12,14,6,6,5,6,Fort Worth Transitional Care Center,32.7287,-97.31777,Tarrant
506,2,3,5,3,2,2,3,1,0,1,2,6,Fort Worth Wellness And Rehabilitation,32.77444000000001,-97.40272,Tarrant
507,1,0,0,0,0,1,0,0,1,1,1,1,"Fortress Health and Rehab of Rock Prairie, LLC",30.56255,-96.27564,Brazos
508,4,10,8,3,4,3,6,5,4,1,1,0,Forum Parkway Health and Rehabilitation,32.85231,-97.13119,Tarrant
509,0,3,1,2,1,1,1,4,5,7,6,4,Founders Plaza Nursing and Rehabilitation,33.01189,-96.53479,Collin
510,17,18,11,18,13,21,18,20,17,18,20,22,FOX HOLLOW POST ACUTE,25.99101,-97.43946,Cameron
511,1,1,1,0,0,0,0,0,0,0,0,0,Frank M Tejeda Texas State Veterans Home,29.11822,-98.2018,Wilson
512,3,2,2,2,1,1,2,5,2,4,3,2,Franklin Heights Nursing and Rehabilitation Center,31.84821,-106.53264,El Paso
513,2,0,1,0,0,0,0,1,2,1,0,1,Franklin Nursing Home,31.07333,-96.42385,Robertson
515,1,1,2,0,2,1,1,0,1,0,1,0,Fredericksburg Nursing And Rehabilitation,30.28151,-98.87712,Gillespie
516,7,10,11,15,15,17,13,20,19,20,15,16,Friendship Haven Healthcare and Rehabilitation Center,29.51492,-95.19219,Galveston
518,2,1,2,2,0,0,0,0,0,1,1,1,Frio Regional Hospital,28.90171,-99.14689,Frio
519,1,0,6,2,2,2,0,0,0,1,3,5,Gainesville Health and Rehabilitation Center,33.65629000000001,-97.17453,Cooke
520,0,0,2,4,2,2,2,1,1,3,1,2,Galleria Residence and Rehabilitation Center,29.73555,-95.52161,Harris
521,0,0,0,2,2,0,2,2,0,0,1,1,Ganado Nursing And Rehabilitation Center,29.02263,-96.48946,Jackson
522,6,3,5,3,6,12,7,12,4,5,3,3,Garden Terrace At Fort Worth,32.667590000000004,-97.41797,Tarrant
523,18,18,22,14,19,17,14,15,21,15,14,14,Garden Terrace At Houston,29.68088,-95.40493,Harris
524,2,1,2,2,0,2,1,1,1,1,1,0,Garden Terrace Healthcare Center,33.0626,-98.62573,Young
525,4,0,0,3,3,2,1,3,1,0,0,0,Garden Villa Nursing Home,29.213040000000003,-96.28036,Wharton
526,0,0,0,1,1,1,1,1,0,0,0,0,Gardendale Rehabilitation and Nursing Center,31.9462,-95.25704,Cherokee
527,4,0,4,1,2,0,2,1,2,0,1,0,Garland Nursing and Rehabilitation,32.9139,-96.67493,Dallas
528,8,8,10,15,22,16,15,15,9,7,3,4,Garnet Hill Rehabilitation and Skilled Care,33.01189,-96.53479,Collin
529,2,6,5,5,6,7,3,9,11,9,7,6,Garrison Geriatric Education And Care Center,33.697540000000004,-101.90482,Lubbock
530,10,11,8,12,9,7,4,9,3,4,7,8,Garrison Nursing Home and Rehabilitation Center,31.8136,-94.5254,Nacogdoches
532,4,1,2,1,0,1,0,1,1,0,0,0,Gazebo Terrace Convalescent Center,30.21068,-96.40706,Washington
536,1,1,0,1,0,1,1,4,4,2,2,1,Georgia Manor Nursing Home,35.14901,-101.87111,Randall
538,1,0,0,0,0,1,0,1,1,1,1,1,Giddings Residence and Rehabilitation Center,30.16902,-96.92221,Lee
539,2,0,1,2,3,1,1,2,0,1,1,4,"Gilmer Nursing and Rehabilitation, LP",32.7951,-94.99552,Upshur
542,8,5,5,8,5,4,3,6,6,3,3,3,Glen Rose Nursing and Rehab Center,32.20528,-97.79713,Somervell
543,16,11,10,9,7,10,16,5,7,12,4,14,Glenview Wellness and Rehab,32.83996,-97.22499,Tarrant
544,0,1,2,2,0,4,4,3,1,4,1,1,Golden Acres Living and Rehabilitation Center,32.82444,-96.67995,Dallas
545,0,0,0,2,3,1,1,1,0,0,0,1,Golden Age Healthcare Residence,32.07521,-98.34946,Erath
547,2,2,1,1,0,1,2,1,0,0,1,1,Golden Creek Healthcare and Rehabilitation Center,30.3686,-96.0616,Grimes
548,0,1,3,1,2,3,6,1,3,2,4,3,Golden Estates Rehabilitation Center,29.46876,-98.52824,Bexar
549,3,11,15,12,16,13,18,16,22,19,17,16,Golden Palms Health Center,26.25668,-97.66671,Cameron
550,0,0,0,1,0,0,0,0,0,0,0,0,Golden Plains Community Hospital,35.69979,-101.39788,Hutchinson
551,9,6,8,8,16,9,9,11,5,8,7,6,Golden Villa Nursing Home,33.115559999999995,-94.20197,Cass
552,1,1,0,2,2,1,0,1,1,0,0,0,Golden Years Nursing and Rehabilitation Center,31.31864,-96.84932,Falls
555,3,1,2,0,4,0,0,0,0,0,1,1,Gonzales Memorial Hospital,29.47721,-97.45171,Gonzales
556,12,11,11,19,17,11,14,15,8,4,10,7,Good Samaritan Society Denton Village,33.22113,-97.14723,Denton
557,4,5,4,7,9,5,9,7,1,3,5,5,Good Samaritan Society Lake Forest Village,33.15036,-97.096,Denton
558,11,8,12,12,13,10,7,8,5,8,6,12,Good Samaritan Society White Acres,31.84821,-106.53264,El Paso
560,0,1,0,2,2,2,3,4,1,1,0,0,Goodall Witcher Hospital,31.80782,-97.56147,Bosque
561,2,2,1,0,0,0,0,0,0,0,0,0,Goodall Witcher Nursing Facility Swing Bed,31.80782,-97.56147,Bosque
564,9,10,6,11,14,13,10,9,12,21,14,22,Grace Care Center at Northpointe,30.06135,-95.68202,Harris
565,10,7,5,10,7,3,3,3,10,9,12,5,Grace Care Center of Cypress,29.90819,-95.65323,Harris
566,0,0,0,0,1,1,0,0,0,1,0,0,Grace Care Center of Henrietta,33.75812,-98.20162,Clay
568,0,0,2,1,1,0,1,0,0,0,0,0,Grace Hill Nursing and Rehabilitation,33.00551,-94.59071,Cass
569,5,2,3,6,4,6,6,8,3,6,4,2,GRACE POINTE WELLNESS CENTER,31.78412,-106.4979,El Paso
570,7,7,12,15,5,10,11,15,4,1,3,8,Grace Presbyterian Village,32.71162,-96.78369,Dallas
571,0,2,0,0,3,0,1,1,1,0,2,2,Gracy Woods 2 Nursing Center,30.38799,-97.70684,Travis
572,2,5,3,2,5,2,2,2,3,5,2,4,Gracy Woods Nursing Center 1,30.38799,-97.70684,Travis
573,1,1,0,2,3,0,2,4,1,0,1,0,Graham Oaks Care Center,33.0626,-98.62573,Young
574,0,0,0,0,0,0,1,0,0,0,0,0,Graham Regional Medical Center,33.0626,-98.62573,Young
575,5,3,5,4,3,7,14,8,15,12,14,18,Granbury Care Center,32.42318,-97.80877,Hood
576,3,4,3,7,8,7,4,6,5,7,5,6,Granbury Villa Nursing Center,32.42318,-97.80877,Hood
577,4,4,1,6,4,4,9,2,6,5,7,7,Grand Terrace Rehabilitation And Health Care,26.21583,-98.23917,Hidalgo
578,5,6,2,2,4,5,2,7,1,2,0,2,Grandview Nursing And Rehabilitation Center,32.27536,-97.16601,Johnson
580,7,3,3,3,5,3,4,4,4,6,2,1,Granite Mesa Health Center,30.572340000000004,-98.20729,Burnet
581,4,4,8,7,5,6,4,7,3,1,1,1,Grapevine Medical Lodge,32.92498,-97.07177,Tarrant
582,1,0,3,2,1,1,1,1,1,1,1,1,Grayson Square Health Care Center,29.43985,-98.45861,Bexar
583,0,0,0,0,0,1,3,0,0,1,1,0,Great Plains Nursing and Rehabilitation,35.89512,-102.02432,Moore
584,9,3,5,4,3,4,5,7,3,3,1,3,Green Valley Healthcare and Rehabilitation Center,32.868109999999994,-97.25197,Tarrant
585,0,3,3,2,0,0,1,2,0,1,0,0,Greenbrier Nursing and Rehabilitation Center,31.87441,-95.66914,Anderson
586,1,2,2,1,2,0,0,3,0,0,0,0,Greenbrier Nursing and Rehabilitation Center of Tyler,32.36285,-95.31526,Smith
587,0,1,0,0,0,0,3,2,1,0,0,0,Greenhill Villas of Mount Pleasant,33.21697,-94.97819,Titus
589,2,3,0,2,3,2,1,1,1,1,0,3,Greenview Manor,31.53875,-97.19525,McLennan
590,1,2,0,0,1,2,0,0,1,0,0,0,Greenville Gardens,33.184259999999995,-96.11951,Hunt
591,2,4,4,1,10,6,6,8,3,4,2,3,Greenville Health And Rehab Center,33.06878,-96.08534,Hunt
592,1,1,3,2,0,1,1,1,1,0,0,0,Groesbeck LTC Nursing and Rehabilitation,31.50133,-96.51758,Limestone
593,1,1,0,2,1,1,1,0,1,0,1,1,Groveton Nursing Home and Assisted Living,31.10075,-95.08953,Trinity
594,0,0,1,1,1,1,0,3,3,2,1,3,Guadalupe Valley Nursing And Rehabilitation Center,29.5334,-97.93886,Guadalupe
597,6,6,3,3,4,3,4,4,6,5,6,3,Gulf Healthcare Center Galveston,29.24558,-94.92353,Galveston
598,1,1,0,0,0,0,0,0,0,0,0,0,Gulf Healthcare Center Port Arthur,29.93921,-93.91601,Jefferson
599,1,3,2,1,2,0,0,5,3,4,1,2,Gulf Pointe Plaza,28.143890000000006,-97.05081,Aransas
601,0,0,1,0,1,0,0,0,1,0,1,2,Hacienda Oaks at Beeville,28.40248,-97.71085,Bee
602,1,1,2,0,0,0,0,0,1,0,0,0,Hacienda Oaks Nursing and Rehabilitation Center,29.5334,-97.93886,Guadalupe
605,1,1,0,0,0,0,0,2,0,0,0,0,Hallettsville Nursing And Rehabilitation Center,29.377,-96.84377,Lavaca
606,0,1,0,2,0,2,0,1,0,0,1,1,Hamilton General Hospital,31.6858,-98.18813,Hamilton
608,4,1,0,1,0,0,1,2,0,0,0,0,Hamilton Healthcare Center,31.6858,-98.18813,Hamilton
609,0,0,0,0,1,3,2,1,1,4,1,3,Hamilton Hospital,33.35974,-98.73818,Young
611,0,0,0,0,0,0,0,0,1,0,0,0,Hamlin Memorial Hospital,32.8649,-100.13233,Jones
612,1,0,0,1,0,0,0,0,0,0,0,0,Hansford County Hospital District,36.2301,-101.21809,Hansford
613,1,0,0,0,0,0,0,0,0,0,0,0,Hansford Manor,36.2301,-101.21809,Hansford
618,2,6,5,4,3,1,4,4,2,1,3,2,Harlingen Nursing and Rehabilitation Center,26.25668,-97.66671,Cameron
622,0,0,0,1,0,0,2,1,0,1,0,1,Haskell Healthcare Center,33.12233,-99.65411,Haskell
623,0,0,1,2,0,0,0,0,0,1,0,0,Haskell Memorial Hospital,33.12233,-99.65411,Haskell
624,1,1,1,1,0,2,0,0,0,2,3,5,Haven Care Nursing and Rehabilitation Center,32.58258,-94.72065,Gregg
625,2,1,1,0,0,1,0,0,0,3,0,2,Hays Nursing and Rehabilitation Center,29.87958,-97.96642,Guadalupe
631,1,0,2,3,0,1,1,0,0,0,0,1,Hearthstone Health Center,30.53345,-97.72475,Williamson
633,2,1,2,3,4,1,0,1,1,1,1,0,Hemphill Care Center,31.30812,-93.77894,Sabine
635,9,3,2,4,6,2,1,9,3,5,2,8,Henderson Health and Rehabilitation Center,32.229890000000005,-94.73272,Rusk
638,0,0,0,1,2,1,1,0,0,1,0,0,Hereford Nursing and Rehabilitation Center,34.91238,-102.559,Deaf Smith
640,1,2,2,1,1,4,2,6,2,2,2,1,Heritage at Longview Healthcare and Rehabilitation,32.58258,-94.72065,Gregg
641,1,1,2,2,0,5,2,6,4,1,2,1,Heritage at Turner Park,32.77409,-97.00533,Dallas
642,3,1,2,3,2,0,1,2,0,3,6,3,Heritage Convalescent Center,35.20318,-101.89519,Potter
643,0,0,1,2,1,3,1,0,0,0,0,0,Heritage Gardens Healthcare Center,32.96188,-96.89701,Dallas
645,0,0,0,1,0,1,2,0,1,1,0,0,Heritage House Nursing and Rehabilitation,31.08166,-96.93866,Falls
646,3,2,3,5,0,1,4,3,2,4,4,3,Heritage House of Keller,32.925740000000005,-97.22899,Tarrant
647,7,8,6,10,10,12,4,5,0,3,2,1,Heritage House of Marshall Healthcare and Rehabilitation Center,32.46883,-94.29489,Harrison
648,7,3,5,12,10,7,6,7,4,5,6,6,Heritage House Of Paris,33.62385,-95.48378,Lamar
651,0,0,0,2,3,0,1,1,1,2,1,2,Heritage Nursing and Rehabilitation,29.4915,-98.4011,Bexar
652,1,1,2,2,2,1,2,2,1,1,3,6,Heritage Oaks Nursing and Rehabilitation Center,33.54623,-101.88729,Lubbock
653,0,2,2,3,5,4,7,5,3,4,0,3,Heritage Oaks Residence and Rehabilitation Center,32.75425,-97.08254,Tarrant
655,1,1,1,0,1,5,3,1,2,2,1,2,Heritage Oaks West Retirement Village,32.086929999999995,-96.52879,Navarro
656,1,1,0,1,0,1,2,0,0,0,0,0,Heritage Park of Katy Nursing and Rehabilitation,29.85208,-95.83094,Harris
657,0,1,1,1,0,0,1,0,0,1,0,0,Heritage Park Rehabilitation and Skilled Nursing Center,30.28997,-97.71465,Travis
659,5,6,8,9,4,2,5,9,0,1,4,3,Heritage Plaza Nursing Center,33.51343,-94.13057,Bowie
661,3,1,3,6,6,5,5,5,3,5,4,5,Heritage Trails Nursing and Rehabilitation Center,32.28511,-97.51137,Johnson
662,1,2,2,2,1,1,0,0,1,1,1,2,Heritage Villa Nursing and Rehabilitation,30.05701,-94.91785,Liberty
663,4,2,1,2,0,1,1,1,1,0,0,0,Hico Nursing and Rehabilitation Center,31.952,-98.02941,Hamilton
665,0,1,1,0,0,1,1,0,0,1,0,0,High Hope Care Center of Brenham,30.21068,-96.40706,Washington
667,19,6,17,13,13,2,7,3,7,5,6,3,Highland Meadows Health and Rehab,32.85504,-96.42764,Rockwall
668,0,0,0,0,1,7,6,6,0,0,0,0,Highland Meadows Health and Rehabilitation,32.85504,-96.42764,Rockwall
670,3,4,6,2,1,1,3,0,0,0,1,2,Highland Park Care Center,29.83057,-95.37698,Harris
671,11,7,13,8,14,16,12,14,7,5,5,8,Highland Pines Nursing Home and Rehab Center,32.50854,-94.72407,Gregg
673,1,0,0,0,0,0,0,1,0,0,0,2,Hill Country Care Healthcare and Rehabilitation,30.218940000000003,-98.12895,Hays
676,3,3,2,2,4,4,3,1,2,2,1,1,Hill Country Rehabilitation and Nursing Center,31.21606,-97.97338,Coryell
677,2,1,2,0,0,1,0,0,0,0,0,0,Hill Regional Hospital,32.02172,-97.1336,Hill
679,2,0,2,0,6,3,0,0,3,4,9,2,Hillside Heights Rehabilitation Suites,35.1103,-102.01664,Randall
680,4,0,1,0,3,1,5,2,2,2,1,6,Hillside Medical Lodge,31.42046,-97.76154,Coryell
682,2,6,8,5,12,8,6,10,11,9,9,8,Hilltop Park Rehabilitation and Care Center,32.75481,-97.78995,Parker
683,11,8,11,11,11,9,11,10,11,9,12,11,Hilltop Village Nursing and Rehabilitation Center,30.03422,-99.15819,Kerr
684,0,0,0,2,1,1,0,0,1,0,0,0,Hillview Manor Nursing And Rehabilitation Center,31.43787,-98.50904,Mills
685,0,0,0,0,1,0,0,0,1,0,0,0,Hogan Clark Nursing and Rehabilitation Center,32.051140000000004,-102.05955,Midland
686,0,1,0,0,0,1,0,2,2,3,0,1,"Holiday Hill, Inc",31.874370000000006,-99.47038,Coleman
687,2,4,2,5,2,4,3,4,0,1,2,3,Holiday Nursing And Rehabilitation,31.73268,-94.20157,Shelby
689,7,6,11,5,8,10,6,4,7,9,12,9,Holly Hall,29.68088,-95.40493,Harris
690,13,17,7,16,13,16,9,13,5,6,4,7,Hollymead,33.0328,-97.06086,Denton
692,0,0,0,0,0,1,0,0,2,1,1,0,Homestead Nursing And Rehabilitation Of Baird,32.32056,-99.35231,Callahan
693,2,0,1,0,1,0,1,1,0,1,1,1,"Homestead Nursing and Rehabilitation of Collinsville, LLC",33.53626,-96.90828,Grayson
